0.000000000000000000e+00 3.586677199550480921e-01
8.999999999999999212e-05 3.586112010420438034e-01
1.799999999999999842e-04 3.585262601893909329e-01
2.700000000000000035e-04 3.583841454890939748e-01
3.599999999999999685e-04 3.581840192239669207e-01
4.499999999999999877e-04 3.579246717855162352e-01
5.400000000000000069e-04 3.576044817578303281e-01
6.299999999999999177e-04 3.572213596444515638e-01
7.199999999999999369e-04 3.567726704719175190e-01
8.100000000000000646e-04 3.562551297698414166e-01
8.999999999999999754e-04 3.557777874586015576e-01
9.882352941176471891e-04 3.554809026110734571e-01
1.076470588235294186e-03 3.552812869776030835e-01
1.164705882352941183e-03 3.550663583189822559e-01
1.252941176470588180e-03 3.548361000219296679e-01
1.341176470588235177e-03 3.545904793741626038e-01
1.429411764705882174e-03 3.543294473684955315e-01
1.517647058823529170e-03 3.540529382716108286e-01
1.605882352941176167e-03 3.537608691510681358e-01
1.694117647058823164e-03 3.534531393028852442e-01
1.782352941176470161e-03 3.531296295929018392e-01
1.870588235294117158e-03 3.527902016958214260e-01
1.958823529411764155e-03 3.524346972322183746e-01
2.047058823529411369e-03 3.520629367800202081e-01
2.135294117647058149e-03 3.516747187875304825e-01
2.223529411764705362e-03 3.512698182234863520e-01
2.311764705882352142e-03 3.508479857020874171e-01
2.400000000000000223e-03 3.502055747636714234e-01
2.489285714285714279e-03 3.492462554760346616e-01
2.578571428571428768e-03 3.482722896096107634e-01
2.667857142857142823e-03 3.474591706339131281e-01
2.757142857142856878e-03 3.467741674503991289e-01
2.846428571428570933e-03 3.461948656865343477e-01
2.935714285714285422e-03 3.457052386225283325e-01
3.024999999999999478e-03 3.452934738116250069e-01
3.114285714285713533e-03 3.449506910479417932e-01
3.203571428571428022e-03 3.446701458446491118e-01
3.292857142857142077e-03 3.444467151627361723e-01
3.382142857142856132e-03 3.442765566049832970e-01
3.471428571428570621e-03 3.441568799714316840e-01
3.560714285714284676e-03 3.440857954876713198e-01
3.649999999999998732e-03 3.440386396839958394e-01
