0.000000000000000000e+00 3.327505183155390900e-01
8.999999999999999212e-05 3.323482590704391892e-01
1.799999999999999842e-04 3.317404099490802727e-01
2.700000000000000035e-04 3.307117571814081614e-01
3.599999999999999685e-04 3.292362180244423620e-01
4.499999999999999877e-04 3.272706754863919376e-01
5.400000000000000069e-04 3.247447478277429300e-01
6.299999999999999177e-04 3.215385925751653717e-01
7.199999999999999369e-04 3.174273648927127822e-01
8.100000000000000646e-04 3.119007819669077919e-01
8.999999999999999754e-04 3.062163237553042761e-01
9.882352941176471891e-04 3.029296883518264871e-01
1.076470588235294186e-03 3.012591676454709488e-01
1.164705882352941183e-03 2.994867149514481852e-01
1.252941176470588180e-03 2.976125530815997289e-01
1.341176470588235177e-03 2.956360150759697603e-01
1.429411764705882174e-03 2.935554405818371904e-01
1.517647058823529170e-03 2.913680395961065761e-01
1.605882352941176167e-03 2.890697145067391838e-01
1.694117647058823164e-03 2.866548269333782373e-01
1.782352941176470161e-03 2.841158891548864474e-01
1.870588235294117158e-03 2.814431493971143450e-01
1.958823529411764155e-03 2.786240232021211516e-01
2.047058823529411369e-03 2.756422943898598210e-01
2.135294117647058149e-03 2.724769587066346310e-01
2.223529411764705362e-03 2.691004903115561953e-01
2.311764705882352142e-03 2.654761297835769307e-01
2.400000000000000223e-03 2.557110474199468242e-01
2.489285714285714279e-03 2.430541638548529837e-01
2.578571428571428768e-03 2.359229099318059797e-01
2.667857142857142823e-03 2.318953936805967508e-01
2.757142857142856878e-03 2.289388745649054702e-01
2.846428571428570933e-03 2.266136069916931395e-01
2.935714285714285422e-03 2.247295086722570778e-01
3.024999999999999478e-03 2.231846266952197677e-01
3.114285714285713533e-03 2.219177696885671069e-01
3.203571428571428022e-03 2.208897294360396835e-01
3.292857142857142077e-03 2.200744591930179350e-01
3.382142857142856132e-03 2.194544582189324189e-01
3.471428571428570621e-03 2.190181923078354242e-01
3.560714285714284676e-03 2.187586169002034009e-01
3.649999999999998732e-03 2.185861197808914858e-01
