0.000000000000000000e+00 3.884551939998023284e-01
8.999999999999999212e-05 3.884306228438857977e-01
1.799999999999999842e-04 3.883558823011798999e-01
2.700000000000000035e-04 3.882313166648475034e-01
3.599999999999999685e-04 3.880569315212309967e-01
4.499999999999999877e-04 3.878327256063739403e-01
5.400000000000000069e-04 3.875587313971284309e-01
6.299999999999999177e-04 3.872348649301919354e-01
7.199999999999999369e-04 3.868614875231641825e-01
8.100000000000000646e-04 3.864373109171076459e-01
8.999999999999999754e-04 3.859682952718325177e-01
9.882352941176471891e-04 3.857831365703226489e-01
1.076470588235294186e-03 3.855904532057230494e-01
1.164705882352941183e-03 3.853863368385186394e-01
1.252941176470588180e-03 3.851715277712830510e-01
1.341176470588235177e-03 3.849458105678522646e-01
1.429411764705882174e-03 3.847092191172026276e-01
1.517647058823529170e-03 3.844617135583523471e-01
1.605882352941176167e-03 3.842032674612078091e-01
1.694117647058823164e-03 3.839338420177077493e-01
1.782352941176470161e-03 3.836534018310512328e-01
1.870588235294117158e-03 3.833618771973202888e-01
1.958823529411764155e-03 3.830592987132160898e-01
2.047058823529411369e-03 3.827452959777751240e-01
2.135294117647058149e-03 3.824209674778349388e-01
2.223529411764705362e-03 3.820819015230731974e-01
2.311764705882352142e-03 3.817442216685013601e-01
2.400000000000000223e-03 3.813323197852484525e-01
2.489285714285714279e-03 3.805761084587429011e-01
2.578571428571428768e-03 3.798234300228797156e-01
2.667857142857142823e-03 3.791394738790014873e-01
2.757142857142856878e-03 3.785113413379572744e-01
2.846428571428570933e-03 3.779428444756969818e-01
2.935714285714285422e-03 3.774332908450540591e-01
3.024999999999999478e-03 3.769831665112238772e-01
3.114285714285713533e-03 3.765926117657255601e-01
3.203571428571428022e-03 3.762618280891371070e-01
3.292857142857142077e-03 3.759909677853470189e-01
3.382142857142856132e-03 3.757801621134478909e-01
3.471428571428570621e-03 3.756295133132091513e-01
3.560714285714284676e-03 3.755390932697338369e-01
3.649999999999998732e-03 3.755130851067070563e-01
