0.000000000000000000e+00 2.110290275436542962e-01
8.999999999999999212e-05 2.123449770333059872e-01
1.799999999999999842e-04 2.162928255022610879e-01
2.700000000000000035e-04 2.228725729505195152e-01
3.599999999999999685e-04 2.320842193780814355e-01
4.499999999999999877e-04 2.439277647849465991e-01
5.400000000000000069e-04 2.584032091711152557e-01
6.299999999999999177e-04 2.755105525365872943e-01
7.199999999999999369e-04 2.952497948813626594e-01
8.100000000000000646e-04 3.176209362054414620e-01
8.999999999999999754e-04 3.426239765088235911e-01
9.882352941176471891e-04 nan
1.076470588235294186e-03 nan
1.164705882352941183e-03 nan
1.252941176470588180e-03 nan
1.341176470588235177e-03 nan
1.429411764705882174e-03 nan
1.517647058823529170e-03 nan
1.605882352941176167e-03 nan
1.694117647058823164e-03 nan
1.782352941176470161e-03 nan
1.870588235294117158e-03 nan
1.958823529411764155e-03 nan
2.047058823529411369e-03 nan
2.135294117647058149e-03 nan
2.223529411764705362e-03 nan
2.311764705882352142e-03 nan
2.400000000000000223e-03 -8.041106495940493482e-02
2.489285714285714279e-03 -6.840513635930425829e-02
2.578571428571428768e-03 -5.728853580365548398e-02
2.667857142857142823e-03 -4.706126329245862577e-02
2.757142857142856878e-03 -3.772331882571365591e-02
2.846428571428570933e-03 -2.927470240342059174e-02
2.935714285714285422e-03 -2.171541402557941591e-02
3.024999999999999478e-03 -1.504545369219014057e-02
3.114285714285713533e-03 -9.264821403252753579e-03
3.203571428571428022e-03 -4.373517158767304368e-03
3.292857142857142077e-03 -3.715409587337244190e-04
3.382142857142856132e-03 2.741107196847920348e-03
3.471428571428570621e-03 4.964427307977698454e-03
3.560714285714284676e-03 6.298419374655564798e-03
3.649999999999998732e-03 6.743083396881523715e-03
